CARTÓRIO DE REGISTRO IMÓVEL,(32) 3281-3134,,,,RUA RUA VIEIRA PINTO,681 LJ 3,Centro,CARTÓRIO,,,
Casa Agropecuária Gracyella,(32) 3281-3125,,,,RUA BENVINDO MANUEL DE PAULA,309 - lj 1,Barreira,AGROPECUÁRIA,,,
CASA DO AGRICULTOR,(32) 3281-1748,,,,Rua Manoel Otaviano de Paula,288,Barreira,Agropecuária,,,
Casa do Lanche,(32) 3281-1359,,,,Rua Antônio Carlos,9,Centro,Lanche,,,
CASA MEDEIROS LTDA,(32) 3281-1586,,,,Pc Juscelino Kubitschek,46 LJ A,Centro,MATERIAIS CONSTRUÇÃO,,,
CASA MOREIRA LTDA,(32) 3281-3850,,,,L M CAMPOS,104,Centro,MATERIAIS CONSTRUÇÃO,,,
CASA NOSTRA BAR E PIZZARIA,(32) 3281-2306,,,,Rua Manoel Otaviano Ferreira,544,Barreira,Pizzaria,,,
CASA TUDO DA ROÇA,(32) 3281-2132,,,,Rua Manoel Otaviano Ferreira,86 LJ A,Barreira,Agropecuária,,,
CASINHA ARTE,(32) 98855-1160,(32) 98812-3033,,,RUA BENVINDO MANUEL DE PAULA,435 LJ 4,SANTA TEREZINHA,ARTESANATO,,,
CATU MINEIRO,(32) 3281-1230,,,,RUA BENVINDO MANUEL DE PAULA,415,SANTA TEREZINHA,Restaurante,,,
CHEZ VOUS SALÃO DE BELEZA,(32) 3281-1289,,,,Pc Juscelino Kubitschek,77,Centro,Cabelereiro,,,
CLINICA ODONTO IRMÃOS IGNÁCIO,(32) 3281-1924,,,,Rua São JOSÉ,32,Centro,CLINICA,,,
CLINICA UNISAÚDE,(32) 3281-1103,,,,Rua Tancredo Alves,91,Centro,CLINICA,,,
CONHEÇA VIAGENS E TURISMO ,(32) 3281-1934,(32) 98822-6489,,,RUA ANTONIO CARLOS,91/101,CENTRO,TURISMO,,,
CONSELHO C LD SSVP,(32) 3281-1264,(32) 3281-1027,,,RUA JOSE DE SALES,542,CENTRO,CONSELHO,,,
CONSULTÓRIO DR ROBERTO CAMILO DE OLIVEIRA,(32) 3281-3153,,,,RUA RUA VIEIRA PINTO,161 LJ 4,CENTRO,MEDICO,,,
CONSULTÓRIO FISIOTERAPIA,(32) 3281-1107,(32) 999826966,,,RUA JOSE VIRGILIO,130 LJ 3,CENTRO,FISOTERAPEUTA,,,
CONSULTÓRIO ODONTOLOGICO ANGELA AGUIAR,(32) 3281-1735,,,,RUA RUA VIEIRA PINTO,118 AP 201,CENTRO,DENTISTA,,,
CONSULTÓRIO ODONTOLOGICO HUDSON ALMEIDA,(32) 3281-1804,(32) 99947-4374,(32) 98437-1882,,RUA ANTONIO CARLOS,32,Centro,DENTISTA,,,
CONTABILIDADE JOÃO ROBERTO CAMPOS ,(32) 3281-1704,,,,RUA DR MANOEL DE PAULA,54/01,Centro,CONTABILIDADE,,,
CONTABILIDADE LUIZ EDUARDO CUNHA,(32) 3281-1529,,,,RUA ANTONIO CARLOS,78 LJ 2,Centro,CONTABILIDADE,,,
CONTABILIDADE NEVES IMÓVEIS,(32) 3281-2150,,,,GAL P GUEDES,141 LJ 1,Centro,CONTABILIDADE,,,
COOPERATIVA AGROPECUÁRIA LD LTDA,(32) 3281-3104,(32) 3281-1240,,,AV CENTENARIO ,60,Centro,COOPERATIVA,,,
Débora Moreira Prócopio,(32) 98859-4671,(32) 99920-2253,,,Rua Alfredo Catão,314,Centro,Plano Saúde,,,
DECORART MÓVEIS E ELETRODOMÉSTICO ,(32) 3281-2371,,,,RUA ANTONIO CARLOS,9 LJ 3,Centro,MOVEIS,,,
DELEGACIA SECRETARIA SEGURANÇA PUBLICA,(32) 3281-1317,,,,JOSÉ VIRGÍLIO,S/N,CENTRO,SEGURANÇA,,,
DEMAE,(32) 3281-1981,,,,V J M DONDICE,22,,TRATAMENTO AGUA,,,
DESPACHANTE LIMA DUARTE,(32) 988276065,(32) 98407-4749,,,AV CENTENARIO ,223 LJ 1,CENTRO,DESPACHANTE,,,
DIDICO MÓVEIS,(32) 3281-1970,,,,AV CENTENARIO ,213,Centro,MOVEIS,,,
Didico Móveis ,(32) 3281-2743,,,,Rua Pedro Padre Nogueira,405,Cruzeiro,MOVEIS,,,
DISK GÁS E ÁGUA FATIMA E TIAOZINHO,(32) 3281-2034,,,,Rua Maria Vitoria Lima,54,Cruzeiro,GAS,,,
DISK GÁS NENEM ,(32) 3281-2179,(32) 98817-2138,,,RUA PEDRO PADRE NOGUEIRA,300,Cruzeiro,GAS,,,
DISK GÁS PAPALEGUAS,(32) 3281-1488,(32) 988446217,(32) 984692622,,RUA DAS ANGELICAS,200,SANTA TEREZINHA,GAS,,,
DISK PIZZA DO ANDRE,(32) 3281-1969,,,,JOSÉ VIRGÍLIO,203,Centro,Pizzaria,,,
DISK TAXI GURGEL,(32) 99919-2421,(32) 98841-9214,(32) 98404-5737,(32) 99139-3924,,,,Taxista,,,
DISK TAXI JARDEL,(32) 99937-1977,(32) 98858-2185,(32) 98823-6490,,,,,Taxista,,,
Disk Taxi Jardel,(32) 99937-1977,(32) 98858-2185,(32) 98423-6490,,,,,Taxista,,,
DISK TAXI NIVALDO,(32) 98871-9882,(32) 99998-1038,(32) 9129-3067,(32) 98463-4838,,,,Taxista,,,
DISTRIBUIDORA BEIJA FLOR,(32) 99966-9646,(32) 9999-48817,,,Rua Manoel Otaviano Ferreira,189,Barreira,DISTRIBUIDORA BEBIDAS,,,
DISTRIBUIDORA ECLIPSE,(32) 3281-1939,,,,RUA DR MANOEL DE PAULA,20,Centro,DISTRIBUIDORA DOCES,,,
DISTRIBUIDORA RODOLFO,(32) 3281-1552,,,,ODEMAR GUIMARÃES,137,Centro,DISTRIBUIDORA DOCES,,,
DOCES.COM,(32) 3281-2416,,,,RUA ANTONIO CARLOS,885 LJ 3,Centro,DISTRIBUIDORA DOCES,,,
DR ALESSANDRA DE SANTANA,(32) 3281-3055,,,,RUA VIEIRA PINTO,68 SL 2,Centro,DENTISTA,,,
DR MARCELO L FARIA,(32) 3281-2078,,,,RUA VIEIRA PINTO,68 SL 6,Centro,DENTISTA,,,
DR OTAVIO AGUIAR CAMPOS,(32) 3281-1107,(32) 99982-6966,,,RUA JOSÉ VIRGÍLIO,130 SL 3,Centro,FISOTERAPEUTA,,,
DROGARIA CRUZEIRO,(32) 3281-1539,,,,RUA PEDRO PADRE NOGUEIRA,,Cruzeiro,FARMACIA,,,
DROGARIA PAIVA,(32) 3281-1309,,,,RUA ANTONIO CARLOS,109,Centro,FARMACIA,,,
Drogaria Rodirgues,(32) 3281-3270,(32) 3281-2982,,,Rua Tancredo Alves,154,Centro,FARMACIA,,,
DROGARIA RODRIGUES,(32) 3281-3270,,,,Rua Tancredo Alves,154,Centro,FARMACIA,,,
DROGARIA SÃO JOSÉ ,(32) 3281-1686,(32) 3281-1267,,,RUA ANTONIO CARLOS,16,Centro,FARMACIA,,,
DROGARIA TERRA FARMA ,(32) 3281-3148,,,,RUA VIEIRA PINTO,118,Centro,FARMACIA,,,
DROGARIA VARGAS,(32) 3281-1655,,,,Rua Manoel Otaviano Ferreira,405,Barreira,FARMACIA,,,
DROGARIA VIDA E SAUDE,(32) 99199-7896,,,,RUA ANTONIO CARLOS,38 B,Centro,FARMACIA,,,
DUPLO DECK ELET. LTDA,(32) 3281-2077,,,,RUA VIEIRA PINTO,175 LJ 4,Centro,MOVEIS,,,
Ecologia,(32) 3281-1151,,,,RUA ANTONIO CARLOS Moreira,32,Centro,Floricultura,,,
Elisangelo Gás,(32) 3281-1552,(32) 99958-3757,,,,,,GAS,,,
Espaço Digital,(32) 3281-2195,,,,Rua Manoel de Paula,106 Lj 2,Centro,Informática,,,
Estilo da Moda,(32) 3281-1016,(32) 99167-2148,,,,,,Perfumaria,,,
Evolucel,(32) 3281-1266,,,,,,,INFORMATICA,,,
FÁBRICA DE VASSOURAS MARIA BONTA,(32) 3281-1545,,,,RUA JOSÉ VIRGÍLIO,460,Centro,INDÚSTRIA,,,
FACER PERFUMARIA E COSMÉTICOS,(32) 3281-1597,,,,RUA DR MANOEL DE PAULA,96,Centro,PERFUMARIA,,,
FARMACIA DE DROGARIA SÃO JOSÉ,(32) 3281-1267,,,,RUA ANTONIO CARLOS,16 A,Centro,FARMACIA,,,
FARMACIA DE MANIPULACAO VERDE FARMA,(32) 3281-1718,,,,RUA RUA VIEIRA PINTO,65,Centro,FARMACIA,,,
Fatinha e Tiazinho do Gás,(32) 3281-2034,(32) 99947-4565,,,Rua Mária Vitória,154,Cruzeiro,Gás,,,
Fatinha e Tiazinho do Gás,(32) 3281-2034,(32) 99947-4565,,,Rua Mária Vitória,154,Cruzeiro,Gás,,,
FERMA TINTAS,(32) 3281-1712,,,,Rua Alfreto Catão,146 LJ 2,Centro,TINTA,,,
Feroluz Auto Center e Seriços de Rebok,(32) 3281-2450,(32) 99958-5340,(32) 98885-2127,(32) 98448-6996,Rua Jacinto Honório,199,Barreira,Mecânica,robertohonorio173@yahoo.com.br,,
Feroluz Auto Center e Seriços de Rebok,(32) 3281-2450,(32) 99958-5340,(32) 98885-2127,(32) 98448-6996,Rua Jacinto Honório,199,Barreira,Mecânica,robertohonorio173@yahoo.com.br,,
Fred Motociclo,(32) 3281-1706,,,,Rua Tancredo Alves esq. C/ Alfredo Catão, ,Centro,Bicicletas e Motos,,,
Funerária Boa Paz,(32) 3281-1951,(32) 99977-1124,,,Rua Alfreto Catão,104,Centro,Funerária,,,
FUNERARIA CENTRAL,(32) 3281-1176,(32) 98413-5125,,,RUA JOSE DE SALES,77 LJ 2,Centro,Funerária,,,
G CAR,,(32) 98874-1343,(32) 9994-9572,,AV CENTENARIO ,,Centro,CONCESSIONARIA,,,
GIROPEÇAS RIO DO PEIXE,(32) 3281-1996,,,,Rua Alfreto Catão,208 LJ 2,CENTRO,AUTO PEÇAS,,,
GR TÊNIS, CALÇADOS E MODA,(32) 98811-5265,,,,RUA PEDRO PADRE NOGUEIRA,436,CRUZEIRO,VESTUÁRIO,,,
GRANOFAR,(32) 3281-1146,,,,Rua Alfreto Catão,82,CENTRO,AGROPECUÁRIA,,,
Gurgel do Taxi,(32) 99919-2421,(32) 98841-9214,(32) 98404-5737,(32) 99139-3924,,,,TAXISTA,,,
HIPOTENUSA CELULARES,(32) 3281-2410,,,,ALFREDO CATÃO,85,CENTRO,CELULAR,,,
HIPOTENUSA MOVEIS,(32) 3281-1344,,,,RUA VIEIRA PINTO,115,CENTRO,Móveis,,,
HMA Móveis,(32) 3281-2318,(32) 98447-2715,,,Rua Manoel Otaviano Ferreira,214 Lj 1,Barreira,Móveis,,,
HOTEL NACIONAL,(32) 3281-2100,,,,TRAVESSA ROSÁRIO,28,CENTRO,HOTEL,,,
HUDSON ROGÉRIO DE ALMEIDA PAULA,(32) 3281-1804,(32) 99947-4374,,,RUA ANTONIO CARLOS,32,CENTRO,DENTISTA,,,
IBITI MÓVEIS,(32) 3281-1579,,,,RUA RUA VIEIRA PINTO,175 LJ 1,CENTRO,Móveis,,,
IBRALANDIA,(32) 3281-1262,,,,RUA ANTONIO CARLOS,126 LJ 1,Centro,SUPERMERCADO,,,
IGREJA EVANGELISTA ASSEMBLEIA DE DEUS,(32) 3281-1742,,,,RUA JOSÉ DE SALES,247,CENTRO,IGREJA,,,
Imagem Óptica,(32) 3281-1555,,,,Pc Juscelino Kubitschek,182,Centro,Ótica,,,
Jaçanã,(32) 3281-1357,,,,Rua RUA VIEIRA PINTO,94,Centro,Restaurante,,,
JD POINT,(32) 98415-3844,(32) 98429-3940,,,RUA MANOEL DE PAULA,,CENTRO,INFORMATICA,,,
JESSICA APARECIDA DE PAIVA,(32) 3281-3007,(32) 99984-2742,(32) 98426-4374,,,,,FISOTERAPEUTA,,,
JG Tur,(32) 98489-0318,(32) 99985-6007,,,Rua José Virgílio,223,Centro,Transporte,,,
JOICE DE OLIVEIRA ASSIS,(32) 32813045,,,,A. CARLOS,141,,ADVOGADO,,,
LABCLIN,(32) 3281-2066,,,,RUA ANTONIO CARLOS,105 LJ 4,CENTRO,LABORÁTORIO,,,
LAN HOUSE AQUARIUM,(32) 3281-1319,,,,RUA BENVINDO MANUEL DE PAULA,13 AP 101,Barreira,LAN HOUSE,,,
LAN HOUSE HIPOTENUSA,(32) 3281-2410,,,,RUA ANTONIO CARLOS,85,CENTRO,LAN HOUSE,,,
LATICÍNIOS MB,(32) 3281-1210,,,,RUA Olímpio O Paula,311,CENTRO,LATICINIO,,,
LATICÍNIOS SABOR DA SERRA,(32) 3281-4045,,,,RODOVIA BR 267 KM 151,S/N,MANEJO,LATICINIO,,,
LATICÍNO SERRA NEGRA,(32) 3281-2878,(32) 3281-1634,(32) 3281-1595,,ESTRADA IBITITPOCA KM3,,,LATICINIO,,,
Leiteria do Silvinho,(32) 3281-2030,,,,,,,Leiteria,,,
LIDER FESTAS E EMBALAGENS,(32) 3281-1650,(32) 98864-1492,,,RUA DR MANOEL DE PAULA,154,Centro,FESTAS,,,
LIVERSON AGUIAR SENRA DELGADO,(32) 3281-1980,,,,AV CENTENARIO ,25 LJ 2,Centro,ADVOGADO,,,
LOCADORA ARCO-IRIS,(32) 3281-2084,,,,RUA DR MANOEL DE PAULA,25,Centro,LOCADORA,,,
LOJA DO MACEDO,(32) 3281-2009,,,,RUA RUA VIEIRA PINTO,67,Centro,VESTUÁRIO,,,
Loja Rosa Mística,(32) 98458-0558,(32) 9663-9480,,,Rua Pedro Padre Nogueira,400,Cruzeiro,VESTUÁRIO,,,
LOTERIA LD LTDA,(32) 3281-1501,,,,RUA ANTONIO CARLOS,114,Centro,LOTERICA,,,
Madeira Arte,(32) 3281-1445,(32) 988227694,,,Rua Joaquim Otaviano,339,Beira Rio,Móveis,,,
MADEIRARTE,(32) 3281-1445,(32) 98822-7694,,,Rua Joaquim Otaviano Ferreira,383,Barreira,MOVEIS,,,
MADEPISO MATERIAS DE CONSTRUÇÃO,(32) 3281-1466,,,,RUA PARAÍSO DE ALCANTARA,,VL SANTO ANTÔNIO,MATERIÁIS CONSTRUÇÃO,,,
MÁQUINAS AGRICOLAS BARROS COMERCIO E MANUTENÇÃO,(32) 3281-1279,,,,Rua Alfreto Catão,38,Centro,AGROPECUÁRIA,,,
Marcelo Neves Pereira,(32) 3281-1633,(32) 99974-4752,,,Rua Manoel Otaviano Ferreira,530 Lj 1,Barreira,Corretor Imóveis,,,
MARCOS CABELEREIRO,(32) 3281-2794,,,,RUA ANTONIO CARLOS,,Centro,CABELEREIRO,,,
MAURICINHO DA VAN,(32) 3281-2135,(32) 98804-7627,(32) 98440-1349,,Rua Manoel Otaviano Ferreira,172,Barreira,TRANSPORTE,,,
Maurício Tur,(32) 3281-2135,(32) 98440-1349,(32) 98804-7627,,Rua Manoel Otaviano Ferreira,172,Barreira,Transporte,,,
Mercado do Paulo,(32) 3281-2509,,,,Rua Domingos J. D'Ávila,12,Cruzeiro,Mercado,,,
MICRO MASTER,(32) 3281-1919,,,,RUA RUA VIEIRA PINTO,161 LJ 1,Centro,INFORMATICA,,,
Micro Master,(32) 3281-1919,,,,Rua RUA VIEIRA PINTO,161 Lj 1,Centro,Informática,,,
MINAS ESPORTE CLUBE ,(32) 3281-1865,,,,RUA ANTONIO CARLOS,121 LJ 2,Centro,CLUBE FUTEBOL,,,
MOBILIARIA SANTO ANTONIO,(32) 3281-1705,,,,RUA DR MANOEL DE PAULA,65,Centro,MOBILIARIA,,,
MOTOPLUS ,(32) 3281-1105,,,,AV CENTENARIO ,274 LJ 1,Centro,CONCESSIONARIA,,,
NAE NUCLEO EDUCACIONAL,(32) 3281-1399,,,,RUA JOSE DE SALES,169,Centro,ESCOLA,,,
NAVID CONSULTORIA,(32) 3281-2926,,,,Pc Juscelino Kubitschek,58 LJ 3,Centro,CONSULTORIA,,,
NIVALDO DO TAXI,(32) 988719882,,,,,,,TAXISTA,,,
Nivaldo do Taxi,(32) 98871-9882,(32) 99998-1038,(32) 99129-3067,(32) 98463-4838,,,,Taxista,,,
NUNES CONTABILIDADE,(32) 3281-1472,(32) 3281-1917,,,Pc Juscelino Kubitschek,78,Centro,CONTABILIDADE,,,
Nutrilima,(32) 3281-3900,(32) 3281-3904,,,Av Centenário,50,Centro,Agropecuária,nutrilimaltda@bol.com.br,,
ORTOIMPLANTES,(32) 3281-2078,,,,RUA RUA VIEIRA PINTO,68 SL 6,CENTRO,DENTISTA,,,
OTÁVIO AGUIAR CAMPOS,(32) 3281-1107,,,,RUA JOSE VIRGILIO,130 SL 3,Centro,FISOTERAPEUTA,,,
Óticas Vianna's,(32) 3281-1304,,,,Rua Tancredo Alves,8 Lj 2,Centro,Ótica,,,
OURO ARTE JOIAS ,(32) 3281-2010,,,,PÇ NOMINATO PAULA DUQUE,19,Centro,JOALHERIA,,,
PADARIA E CONFEITARIA ANNALICE,(32) 3281-3085,,,,RUA PADRE PEDRO NOGUEIRA,484,Cruzeiro,PADARIA,,,
PADARIA PURO BOM,(32) 3281-2059,(32) 3281-2432,,,TV ROSARIO,12,Centro,PADARIA,,,
PAGUE FÁCIL - PAPELARIA - ARMARINHO,(32) 3281-1917,,,,Pc Juscelino Kubitschek,46,Centro,PAPELARIA,,,
PAPALÉGUA GÁS,(32) 3281-1488,,,,RUA DAS ANGELICAS,200,N SRA GRAÇAS,Gás,,,
PAROQUIA NS DAS DORES,(32) 3281-1236,,,,PÇ VIGÁRIO MAIA,107,Centro,IGREJA,,,
PATOTINHA PRESENTES,(32) 3281-1312,,,,PÇ NOMINATO PAULA DUQUE,15 LJ 7,Centro,PAPELARIA,,,
PEDAL PEÇAS,(32) 3281-3114,,,,RUA SENADOR MILTON CAMPOS,763,Cruzeiro,OFICINA BISCICLETA,,,
PIAGET DE ENSINO,(32) 3281-1872, ,,,RURUA ANTONIO CARLOS MOREIRA,40,CENTRO,ESCOLA,,,
Pizzaria da Nona,(32) 3281-2856,,,,Rua Pedro Padre Nogueira,458,Cruzeiro,Pizzaria,,,
POSTO PORTAL DA SERRA,(32) 3281-1276,,,,RUA BENVINDO MANUEL DE PAULA,435,SANTA TEREZINHA,POSTO COMBUSTÍVEL,,,
POWER LINE INTERNET,(32) 3281-2887,,,,Pc Juscelino Kubitschek,58,Centro,INTERNET,,,
PROCURADORIA GERAL ESTADO MG,(32) 3281-1600,,,,Pc Juscelino Kubitschek,55,Centro,JUSTIÇA,,,
RABO DE SAIA ACESSORIOS,(32) 3281-3292,,,,RUA ANTONIO CARLOS,91 - 102,Centro,VESTUÁRIO,,,
Rádio Lima Duarte FM,(32) 3281-2370,(32) 3281-1234,,,,,,Rádio,,,
Rádio Serrana FM,(32) 3281-2207,,,,Pç Vigário Maia,,Centro,Rádio,alac.limaduarte@hotmail.com,,
RAMOS,(32) 3281-1657,(32) 3281-2833,,,RUA PEDRO PADRE NOGUEIRA,344,Cruzeiro,SUPERMERCADO,,,
REDE CONSTUIR,(32) 3281-3850,(32) 32818129,,,RUA Raul Fonseca,3,CENTRO,MATERIÁIS CONSTRUÇÃO,,,
REIS IMOVEIS,(32) 3281-1954,,,,RUA BENVINDO MANUEL DE PAULA,435,SANTA TEREZINHA,IMOVEIS,,,
RENATA MODAS,(32) 3281-2111,,,,RUA CLEMENTE ARMANDO MOREIRA,675,Cruzeiro,VESTUÁRIO,,,
Renata Modas,(32) 3281-2111,,,,Rua Clemente Armando Moreira,675,Cruzeiro,Roupas,,,
REPUBLICA MODA E BOUTIQUE,(32) 98857-8612,(32) 98431-4673,,,GAL RUA VIEIRA PINTO,LJ 6,Centro,VESTUÁRIO,,,
RESTAURANTE E PIZZARIA FORNALHA,(32) 3281-1020,,,,Rua Manoel Otaviano Ferreira,202,Barreira,Restaurante,,,
RIVELLI CLUBE DA CASA,(32) 3281-1396,,,,RUA SOUZA PAULA,46,Centro,MATERIÁIS CONSTRUÇÃO,,,
RONALDO BAUGRATZ DELGADO,(32) 3281-1752,,,,Rua Manoel Otaviano Ferreira,145 SL 2,Barreira,DENTISTA,,,
Rosa Mística,(32) 98458-0558,(32) 9663-9480,,,Rua Pedro Padre Nogueira,400,Cruzeiro,Roupas,,,
SALÃO ANA MARIA,(32) 3281-1345,,,,RUA RUA VIEIRA PINTO,56 LJ 1,Centro,CABELEREIRO,,,
Salão da Cacilda,(32) 3281-1016,(32) 98412-8680,(32) 99973-7056,,Rua Jacinto Honório,330,Barreira,Cabelereiro,,,
SALÃO NEW LOOK - MARLY,(32) 9951-8807,,,,RUA PEDRO PADRE NOGUEIRA,584,Cruzeiro,CABELEREIRO,,,
Salão W.P.,(32) 988451825,,,,Rua Tancredo Alves,48,Centro,Cabelereiro,,,
SEGUNDO TABLEIONATO DE NOTAS LD,(32) 3281-3229,,,,RUA ANTONIO CARLOS,78 LJ 5,Centro,CARTÓRIO,,,
SERRALHERIA VALE DO SOL,(32) 3281-1507,,,,RUA PEDRO PADRE NOGUEIRA,51,Cruzeiro,SERRALHERIA,,,
SINDICATO PRODUTORES RURAIS LD ,(32) 3281-1314,,,,Rua Tancredo Alves ,85,Centro,SINDICATO,,,
SINDICATO TRABALHADORES RURAIS LD - PT - OLARIA,(32) 3281-1244,,,,RUA JOSÉ DE SALES,47,Centro,SINDICATO,,,
SORVETERIA LIMA DUARTE,(32) 3281-1182,,,,RUA DR MANOEL DE PAULA,106 LJ 1,Centro,SORVETERIA,,,
SR MOVEIS PLANEJADOS,(32) 3281-2084,,,,RUA DR MANOEL DE PAULA,25,Centro,MOVEIS,,,
SUPER CREDI BRASIL,(32) 3281-1370,,,,Pc Juscelino Kubitschek,58 LJ 5,Centro,CREDITO,,,
TANAKA,(32) 3281-2216,,,,RUA TANCREDO ALVES,142,Centro,Restaurante,,,
Tanaka,(32) 3281-2216,,,,Rua Tancredo Alves,142,Centro,Restaurante,,,
Tempero e Sabor,(32) 3281-2159,,,,Rua Pedro Padre Nogueira,335,Cruzeiro,Restaurante,,,
Toca dos Bichos,(32) 3281-3167,(32) 984047970,(32) 94828-6921,,Rua José Virgílio,370,Centro,Veterinária,,,
Torga Seguros,(32) 3215-7167,(32) 3218-1311,(32) 98827-6065,(32) 98407-4749,Av. Centenário,223 Lj 1,Centro,Seguradora,,,
